,response,query
124686,psoriasis,"abnormal appearing skin ,skin lesion ,skin growth ,skin moles ,joint pain ,skin dryness, peeling, scaliness, or roughness ,skin rash "
124687,psoriasis,"skin swelling ,abnormal appearing skin ,skin dryness, peeling, scaliness, or roughness ,itchy scalp "
124688,psoriasis,"skin lesion ,skin growth ,irregular appearing scalp ,skin moles ,itchy scalp "
124689,psoriasis,"abnormal appearing skin ,skin lesion ,skin growth ,skin moles ,joint pain ,skin dryness, peeling, scaliness, or roughness "
124690,psoriasis,"skin swelling ,skin growth ,irregular appearing scalp ,itching of skin ,skin dryness, peeling, scaliness, or roughness ,itchy scalp "
124691,psoriasis,"skin swelling ,skin lesion ,joint pain ,skin dryness, peeling, scaliness, or roughness ,skin rash "
124692,psoriasis,"skin swelling ,abnormal appearing skin ,skin lesion "
124693,psoriasis,"skin swelling ,skin growth ,irregular appearing scalp ,itchy scalp ,skin rash "
124694,psoriasis,"skin swelling ,abnormal appearing skin ,irregular appearing scalp ,skin moles ,itching of skin ,skin dryness, peeling, scaliness, or roughness ,itchy scalp ,skin rash "
124695,psoriasis,"skin swelling ,irregular appearing scalp ,skin moles ,itching of skin "
124696,psoriasis,"skin moles ,skin dryness, peeling, scaliness, or roughness ,itchy scalp ,skin rash "
124697,psoriasis,"abnormal appearing skin ,skin dryness, peeling, scaliness, or roughness "
124698,psoriasis,"abnormal appearing skin ,skin lesion ,irregular appearing scalp ,joint pain ,itchy scalp ,skin rash "
124699,psoriasis,"abnormal appearing skin ,skin growth ,irregular appearing scalp ,skin dryness, peeling, scaliness, or roughness ,skin rash "
124700,psoriasis,"skin swelling ,abnormal appearing skin ,skin lesion ,skin growth ,skin moles ,joint pain ,itchy scalp ,skin rash "
124701,psoriasis,"skin swelling ,abnormal appearing skin ,itching of skin ,skin dryness, peeling, scaliness, or roughness ,itchy scalp ,skin rash "
124702,psoriasis,"abnormal appearing skin ,skin lesion ,irregular appearing scalp ,skin moles ,joint pain ,skin rash "
124703,psoriasis,"skin swelling ,skin lesion ,skin growth ,irregular appearing scalp ,joint pain ,skin rash "
124704,psoriasis,"abnormal appearing skin ,joint pain "
124705,psoriasis,"skin swelling ,abnormal appearing skin ,skin lesion ,skin growth ,irregular appearing scalp ,itchy scalp "
124706,psoriasis,"skin swelling ,skin lesion ,irregular appearing scalp ,itching of skin ,itchy scalp ,skin rash "
124707,psoriasis,"skin lesion ,irregular appearing scalp ,skin moles ,joint pain "
124708,psoriasis,"skin growth ,irregular appearing scalp ,skin moles ,itching of skin "
124709,psoriasis,"skin swelling ,abnormal appearing skin ,joint pain "
124710,psoriasis,"skin swelling ,skin growth ,skin moles ,joint pain ,itching of skin ,itchy scalp "
124711,psoriasis,"skin swelling ,skin growth ,irregular appearing scalp ,skin moles ,itching of skin ,skin dryness, peeling, scaliness, or roughness ,itchy scalp "
124712,psoriasis,"skin swelling ,abnormal appearing skin ,skin lesion ,skin growth ,skin moles ,itching of skin ,skin dryness, peeling, scaliness, or roughness ,itchy scalp ,skin rash "
124713,psoriasis,"irregular appearing scalp ,joint pain ,itching of skin ,skin dryness, peeling, scaliness, or roughness "
124714,psoriasis,"skin swelling ,abnormal appearing skin ,skin lesion ,skin dryness, peeling, scaliness, or roughness ,itchy scalp "
124715,psoriasis,"skin swelling ,abnormal appearing skin ,skin lesion ,skin growth ,joint pain ,skin dryness, peeling, scaliness, or roughness ,skin rash "
124716,psoriasis,"skin swelling ,abnormal appearing skin ,skin growth ,irregular appearing scalp ,joint pain ,itching of skin ,skin dryness, peeling, scaliness, or roughness ,skin rash "
124717,psoriasis,"skin growth ,itching of skin ,itchy scalp ,skin rash "
124718,psoriasis,"skin swelling ,abnormal appearing skin ,skin lesion ,skin moles ,itching of skin "
124719,psoriasis,"skin swelling ,abnormal appearing skin ,skin growth ,skin dryness, peeling, scaliness, or roughness "
124720,psoriasis,"skin swelling ,skin growth ,skin moles ,skin dryness, peeling, scaliness, or roughness ,itchy scalp "
124721,psoriasis,"skin lesion ,skin growth ,irregular appearing scalp ,skin moles ,joint pain ,skin rash "
124722,psoriasis,"skin growth ,irregular appearing scalp ,joint pain ,itching of skin ,skin dryness, peeling, scaliness, or roughness ,itchy scalp ,skin rash "
124723,psoriasis,"skin lesion ,joint pain ,skin dryness, peeling, scaliness, or roughness ,itchy scalp "
124724,psoriasis,"skin swelling ,abnormal appearing skin ,irregular appearing scalp ,itchy scalp "
124725,psoriasis,"irregular appearing scalp ,skin moles ,joint pain "
124726,psoriasis,"skin growth ,irregular appearing scalp ,joint pain ,itching of skin ,itchy scalp ,skin rash "
124727,psoriasis,"skin swelling ,abnormal appearing skin ,skin lesion ,irregular appearing scalp ,skin moles ,joint pain ,skin dryness, peeling, scaliness, or roughness ,itchy scalp ,skin rash "
124728,psoriasis,"skin lesion ,irregular appearing scalp ,skin moles ,itching of skin ,itchy scalp "
124729,psoriasis,"skin swelling ,skin growth ,joint pain ,skin rash "
124730,psoriasis,"skin swelling ,abnormal appearing skin ,skin lesion ,irregular appearing scalp ,joint pain ,skin dryness, peeling, scaliness, or roughness ,itchy scalp ,skin rash "
124731,psoriasis,"skin swelling ,abnormal appearing skin ,skin lesion ,irregular appearing scalp ,itching of skin ,skin dryness, peeling, scaliness, or roughness ,itchy scalp ,skin rash "
124732,psoriasis,"skin swelling ,skin lesion ,skin growth ,skin moles ,skin dryness, peeling, scaliness, or roughness "
124733,psoriasis,"skin swelling ,abnormal appearing skin ,irregular appearing scalp ,joint pain ,skin dryness, peeling, scaliness, or roughness ,itchy scalp ,skin rash "
124734,psoriasis,"skin swelling ,skin growth ,skin moles ,itching of skin ,skin rash "
124735,psoriasis,"skin swelling ,abnormal appearing skin ,skin lesion ,irregular appearing scalp ,skin moles ,itchy scalp "
124736,psoriasis,"skin swelling ,itching of skin ,itchy scalp ,skin rash "
124737,psoriasis,"skin swelling ,abnormal appearing skin ,skin lesion ,skin growth ,skin moles ,skin rash "
124738,psoriasis,"skin swelling ,skin growth ,skin moles ,itchy scalp "
124739,psoriasis,"skin swelling ,irregular appearing scalp ,itching of skin ,skin dryness, peeling, scaliness, or roughness ,itchy scalp ,skin rash "
124740,psoriasis,"skin swelling ,skin moles ,joint pain ,itching of skin ,skin dryness, peeling, scaliness, or roughness ,itchy scalp ,skin rash "
124741,psoriasis,"skin lesion ,skin growth ,irregular appearing scalp ,skin dryness, peeling, scaliness, or roughness ,itchy scalp "
124742,psoriasis,"irregular appearing scalp ,skin moles ,joint pain ,itching of skin ,skin rash "
124743,psoriasis,"skin lesion ,irregular appearing scalp ,itching of skin ,skin dryness, peeling, scaliness, or roughness "
124744,psoriasis,"abnormal appearing skin ,joint pain ,skin dryness, peeling, scaliness, or roughness ,itchy scalp "
124745,psoriasis,"skin swelling ,abnormal appearing skin ,skin moles ,skin dryness, peeling, scaliness, or roughness ,itchy scalp ,skin rash "
124746,psoriasis,"skin swelling ,skin lesion ,skin growth ,irregular appearing scalp ,skin moles ,skin rash "
124747,psoriasis,"skin swelling ,abnormal appearing skin ,skin lesion ,skin growth ,irregular appearing scalp ,joint pain "
124748,psoriasis,"abnormal appearing skin ,skin lesion ,skin growth ,joint pain ,skin dryness, peeling, scaliness, or roughness ,itchy scalp ,skin rash "
124749,psoriasis,"skin lesion ,irregular appearing scalp ,skin moles ,itching of skin ,skin dryness, peeling, scaliness, or roughness ,itchy scalp ,skin rash "
124750,psoriasis,"skin swelling ,skin lesion ,irregular appearing scalp ,skin moles ,joint pain ,itching of skin ,itchy scalp ,skin rash "
124751,psoriasis,"skin growth ,joint pain ,itchy scalp "
124752,psoriasis,"skin swelling ,abnormal appearing skin ,skin lesion ,skin growth ,irregular appearing scalp ,skin moles ,joint pain ,itchy scalp "
124753,psoriasis,"skin growth ,joint pain ,itching of skin ,skin dryness, peeling, scaliness, or roughness "
124754,psoriasis,"skin swelling ,skin lesion ,skin growth ,skin moles ,joint pain ,itching of skin ,skin dryness, peeling, scaliness, or roughness ,itchy scalp ,skin rash "
124755,psoriasis,"skin swelling ,abnormal appearing skin ,skin lesion ,skin growth ,irregular appearing scalp ,skin moles ,joint pain ,itching of skin ,skin dryness, peeling, scaliness, or roughness ,skin rash "
124756,psoriasis,"skin swelling ,skin growth ,itching of skin ,skin dryness, peeling, scaliness, or roughness ,itchy scalp ,skin rash "
124757,psoriasis,"skin swelling ,skin lesion ,joint pain ,skin dryness, peeling, scaliness, or roughness ,itchy scalp "
124758,psoriasis,"skin dryness, peeling, scaliness, or roughness ,itchy scalp ,skin rash "
124759,psoriasis,"skin lesion ,skin growth ,skin moles ,itching of skin ,itchy scalp "
124760,psoriasis,"skin swelling ,abnormal appearing skin ,irregular appearing scalp ,skin moles ,joint pain ,itching of skin ,skin dryness, peeling, scaliness, or roughness "
124761,psoriasis,"skin swelling ,abnormal appearing skin ,skin growth ,irregular appearing scalp ,skin moles ,itchy scalp "
124762,psoriasis,"skin swelling ,abnormal appearing skin ,skin growth ,irregular appearing scalp ,skin moles ,itching of skin ,skin rash "
124763,psoriasis,"skin swelling ,skin lesion ,irregular appearing scalp ,skin moles ,itching of skin ,itchy scalp "
124764,psoriasis,"skin swelling ,skin lesion ,irregular appearing scalp ,joint pain ,itching of skin "
124765,psoriasis,"skin swelling ,abnormal appearing skin ,skin lesion ,itching of skin ,skin dryness, peeling, scaliness, or roughness "
124766,psoriasis,"skin swelling ,abnormal appearing skin ,skin moles ,joint pain ,skin dryness, peeling, scaliness, or roughness "
